workload, memory, parallelism, tXAW, energy (nJ), execution time (ns)
VecMulQ8, 3DS, 512, 0.0, 786051.0720, 47348.4000
VecMulQ8, 3DS, 512, 6.664, 786051.0720, 54952.0240
VecMulQ8, 3DS, 512, 13.328, 786051.0720, 62555.6480
VecMulQ8, 3DS, 8192, 0.0, 786051.0720, 47348.4000
VecMulQ8, 3DS, 8192, 6.664, 786051.0720, 54952.0240
VecMulQ8, 3DS, 8192, 13.328, 786051.0720, 62555.6480
VecMulQ16, 3DS, 512, 0.0, 2947872.7680, 177398.4000
VecMulQ16, 3DS, 512, 6.664, 2947872.7680, 206133.5680
VecMulQ16, 3DS, 512, 13.328, 2947872.7680, 234868.7360
VecMulQ16, 3DS, 8192, 0.0, 2947872.7680, 177398.4000
VecMulQ16, 3DS, 8192, 6.664, 2947872.7680, 206133.5680
VecMulQ16, 3DS, 8192, 13.328, 2947872.7680, 234868.7360
CRC8, 3DS, 512, 0.0, 446676598.7840, 10695475.2268
CRC8, 3DS, 512, 6.664, 446676598.7840, 12442402.8428
CRC8, 3DS, 512, 13.328, 446676598.7840, 14189330.4588
CRC8, 3DS, 8192, 0.0, 446676598.7840, 668467.2268
CRC8, 3DS, 8192, 6.664, 446676598.7840, 777650.2028
CRC8, 3DS, 8192, 13.328, 446676598.7840, 886833.1788
CRC16, 3DS, 512, 0.0, 446676598.7840, 10695475.2268
CRC16, 3DS, 512, 6.664, 446676598.7840, 12442402.8428
CRC16, 3DS, 512, 13.328, 446676598.7840, 14189330.4588
CRC16, 3DS, 8192, 0.0, 446676598.7840, 668467.2268
CRC16, 3DS, 8192, 6.664, 446676598.7840, 777650.2028
CRC16, 3DS, 8192, 13.328, 446676598.7840, 886833.1788
CRC32, 3DS, 512, 0.0, 446676598.7840, 10695475.2268
CRC32, 3DS, 512, 6.664, 446676598.7840, 12442402.8428
CRC32, 3DS, 512, 13.328, 446676598.7840, 14189330.4588
CRC32, 3DS, 8192, 0.0, 446676598.7840, 668467.2268
CRC32, 3DS, 8192, 6.664, 446676598.7840, 777650.2028
CRC32, 3DS, 8192, 13.328, 446676598.7840, 886833.1788
Salsa20, 3DS, 512, 0.0, 1798618218.4960, 43575705.7074
Salsa20, 3DS, 512, 6.664, 1798618218.4960, 50693070.9554
Salsa20, 3DS, 512, 13.328, 1798618218.4960, 57810436.2034
Salsa20, 3DS, 8192, 0.0, 1798618218.4960, 2723481.7074
Salsa20, 3DS, 8192, 6.664, 1798618218.4960, 3168317.0354
Salsa20, 3DS, 8192, 13.328, 1798618218.4960, 3613152.3634
VMPC, 3DS, 512, 0.0, 2851888154.6240, 171129429.0000
VMPC, 3DS, 512, 6.664, 2851888154.6240, 199080524.0880
VMPC, 3DS, 512, 13.328, 2851888154.6240, 227031619.1760
VMPC, 3DS, 8192, 0.0, 2851888154.6240, 10697301.0000
VMPC, 3DS, 8192, 6.664, 2851888154.6240, 12444481.8480
VMPC, 3DS, 8192, 13.328, 2851888154.6240, 14191662.6960
BitWiseOps, 3DS, 512, 0.0, 175845.3760, 10567.2000
BitWiseOps, 3DS, 512, 6.664, 175845.3760, 12293.1760
BitWiseOps, 3DS, 512, 13.328, 175845.3760, 14019.1520
BitWiseOps, 3DS, 8192, 0.0, 175845.3760, 10567.2000
